time_months,n_at_risk,n_events,S,sector
1,7,5,0.2857142857142857,Agriculture
2,2,2,0.0,Agriculture
1,32,21,0.34375,Construction
2,11,5,0.1875,Construction
3,6,6,0.0,Construction
1,933,514,0.4490889603429796,Finance
2,418,281,0.14718944394016317,Finance
3,137,85,0.05586752616706923,Finance
4,52,29,0.024710636573896005,Finance
5,23,19,0.004297502012851479,Finance
6,4,3,0.0010743755032128698,Finance
7,1,1,0.0,Finance
1,1768,1027,0.4191176470588235,Manufacturing
2,739,475,0.14972538406431582,Manufacturing
3,263,178,0.04839033325272565,Manufacturing
4,85,57,0.015940345071486096,Manufacturing
5,28,17,0.0062622784209409674,Manufacturing
6,11,6,0.0028464901913368037,Manufacturing
7,5,2,0.0017078941148020823,Manufacturing
8,3,1,0.0011385960765347217,Manufacturing
9,2,2,0.0,Manufacturing
1,171,106,0.3801169590643275,Mining
2,65,31,0.19883040935672514,Mining
3,34,26,0.046783625730994156,Mining
4,8,6,0.011695906432748539,Mining
5,2,1,0.0058479532163742695,Mining
6,1,1,0.0,Mining
1,147,95,0.3537414965986394,Other
2,51,28,0.15953047885820992,Other
3,23,17,0.041616646658663464,Other
4,6,5,0.0069361077764439096,Other
5,1,1,0.0,Other
1,407,237,0.4176904176904177,Retail
2,167,128,0.09754446880195382,Retail
3,39,19,0.05002280451382247,Retail
4,20,15,0.012505701128455617,Retail
5,5,3,0.005002280451382247,Retail
6,2,2,0.0,Retail
1,757,434,0.4266842800528402,Services
2,323,217,0.14002642007926025,Services
3,106,80,0.03434610303830911,Services
4,26,16,0.013210039630118887,Services
5,10,9,0.0013210039630118884,Services
6,1,1,0.0,Services
1,293,162,0.447098976109215,Transportation & Comm
2,130,95,0.12037280126017329,Transportation & Comm
3,35,20,0.05158834339721713,Transportation & Comm
4,15,5,0.03439222893147809,Transportation & Comm
5,10,7,0.010317668679443429,Transportation & Comm
6,3,2,0.00343922289314781,Transportation & Comm
9,1,1,0.0,Transportation & Comm
1,213,109,0.4882629107981221,Utilities
2,104,56,0.22535211267605637,Utilities
3,48,36,0.05633802816901409,Utilities
4,12,6,0.028169014084507046,Utilities
6,6,2,0.0187793427230047,Utilities
7,4,1,0.014084507042253523,Utilities
8,3,2,0.004694835680751175,Utilities
9,1,1,0.0,Utilities
1,164,96,0.41463414634146345,Wholesale
2,68,44,0.14634146341463414,Wholesale
3,24,16,0.04878048780487805,Wholesale
4,8,4,0.024390243902439025,Wholesale
5,4,2,0.012195121951219513,Wholesale
6,2,1,0.006097560975609756,Wholesale
7,1,1,0.0,Wholesale
